Quality	#1 ID	#2 ID	#1 String	#2 String
1	582699	582690	However, with regard to this rural balance, the new rural development policy, co-financed by the EAGGF Guarantee Section, whose role is to promote the reform of agriculture, must not be forgotten. support the multifunctional dimension of agriculture. 	However, with regard to this balance of the rural world, there is also, let us not forget, the new rural development policy, co - financed by the EAGGF Guarantee Section, whose role is to promote the reform of agriculture. to support the multifunctional dimension of agriculture.
1	381394	381254	An in-depth analysis of why regional policy does not work in all regions is now needed.	An in-depth analysis of why regional policy is not working in all regions is now needed.
0	350042	350051	It's not much to ask.	It is not a lot to ask.
0	2763475	2763440	We therefore accept the four proposed amendments.	We therefore accept the four amendments which have been proposed.
0	3437671	3437440	It is important to give priority to the general criteria of spatial planning and demographic balance and to bear in mind the conclusions of the Committee on Agriculture and Rural Development on the five fundamental issues which have not been partly taken over by the Committee on Transport and Regional Policy. and Tourism in points 16 and 17.	It is important to prioritise general criteria for land planning and demographic equilibrium, and to bear in mind the conclusions of the Committee on Agriculture and Rural Development on the five fundamental issues, which have been only partly taken up by the Committee on Transport, Regional Policy and Tourism in its points 16 and 17.
0	327456	327366	We must give them this opportunity.	We must give them this opportunity.
1	3255139	3255157	I therefore make a solemn appeal to the Council and the Commission.	I therefore make a solemn appeal to the Council and the Commission.
0	1798982	1799475	What is done can be very important, but it is still not enough.	What is being done may well be very important, but it is still not sufficient.
1	607991	607825	The hand of the States must remain visible to frame the market and the Commission must be the arbiter.	The hand of the States must remain visible to frame the market and the Commission must be the arbiter.
0	582690	582670	This is why my group and I propose three essential modifications and additions to the text, without removing anything from the proposal, but to make it more relevant to those it is supposed to guide.	That is why I and my Group are proposing three key amendments and additions to the text, not to take anything away from the proposal, but to make it more relevant to those whom it is there to guide.
0	1794122	1794228	Fourthly, I would like to know why the Commission has not chosen to apply the penalty of invalidity in the event of a clear violation of the competition rules.	Fourthly, I would like to be informed of why the Commission does not choose to apply the invalidity penalty in the case of evident infringements of the competition rules.
0	737789	737933	Ladies and gentlemen, considerable progress has been made towards real convergence, especially for the four cohesion countries, but also, Mr Pohjamo, for the Objective 2 regions which had experienced delays. development, particularly in the field of infrastructure.	Ladies and gentlemen, considerable progress has been made on the road to real convergence, particularly for the four cohesion countries, but also frankly, Mr Pohjamo, for the Objective 2 regions which had suffered some delays in terms of development, especially regarding infrastructure.
1	3277346	3277330	Perhaps I can say on this subject to Mr Ribeiro i Castro, who asked me about the fact that, as I wrote to the Presidents of each of these outermost regions, the Commission asked for a few more weeks to to publish the report is what is expected of her.	Perhaps, on this subject, may I say to Mr Ribeiro i Castro who has questioned me that, indeed, as I have written to the Presidents of each of these outermost regions, the Commission asked for a few weeks of additional time to publish the report that is expected from her.
1	1583456	1583736	I think that's not acceptable.	I think that's not acceptable.
1	3159648	3159697	Many files are precisely introduced in this perspective.	Many files are precisely introduced in this perspective.
1	795984	795913	Mr President, Commissioner, ladies and gentlemen, this sixth periodical report on the situation and socio-economic development of the regions of the European Union crosses a threshold in the analysis of regional data and highlights the progress made in this domain. this area since the publication of the fifth periodic report.	Mr President, Commissioner, ladies and gentlemen, this sixth periodical report on the situation and the socio - economic evolution of the regions of the European Union marks the crossing of a threshold in the analysis of regional data and puts the progress that has been made in this area since the issuance of the fifth periodic report.
0	3075693	3075784	I consider this to be unacceptable.	I consider this to be unacceptable.
0	3085147	3085018	As far as the more distant regions are concerned, it is only belatedly that we have received memoranda from the different governments, but that is not necessarily an excuse, but an explanation.	Concerning the most remote regions, it was only quite belatedly that we received the memorandums from the various governments, but this is not necessarily an excuse, just an explanation.
0	1279909	1279881	I remain concerned about the whole judicial process.	I remain worried about the whole operation of the judicial process.
1	2319051	2319099	Nevertheless, we need greater transparency in competition policy.	Nevertheless, we need greater transparency in competition policy.
0	1653312	1653243	I actually quoted the text itself, in quotation marks.	I actually quoted the text itself, in quotation marks.
1	487931	488007	This is precisely what we reject in the European Union.	This is precisely what we are rejecting in the European Union.
1	1257237	1257412	I therefore ask you, Madam President, to ask the Commission to speak now and then to vote.	I therefore ask you, Madam President, to ask the Commission to speak now and then proceed to the vote.
1	666384	666485	I think it is also necessary to raise the minimum regulation.	I think it is also necessary to raise the minimum regulation.
0	838787	838830	In conclusion, although the European Regional Development Fund and the Cohesion Fund have supported key infrastructure projects, it should be recalled that the European Social Fund has played a very important role in helping the less fortunate in our society.	In conclusion, while key infrastructure projects have been supported by the European Regional Development Fund and the Cohesion Fund, we should remember that the European Social Fund has played a very important role in helping the less well-off in our society.
1	1196004	1196099	The Union's structural policy will be successful if it succeeds in creating enough jobs and generating a significant reduction in unemployment.	The Union's structural policy will be successful if it succeeds in creating enough jobs and generating a significant reduction in unemployment.
1	2340480	2340449	If your decision is that I can not give an explanation of vote, I accept it but with some reservations.	If your decision is that I can not give an explanation of vote, I accept it, but with some reservations.
0	1799157	1799761	We hope that those who are considering rejecting these amendments have very strong reasons to offer Parliament and their citizens a job search.	We hope that those considering rejection of these amendments have very powerful reasons to offer to both Parliament and their citizens who are seeking employment.
0	1387945	1388069	President Duisenberg has even tried to attribute the weakness, the quite relative weakness of the euro against the dollar, to this state interventionism.	President Duisenberg even attempted to attribute the weakness, the entirely relative weakness of the euro in relation to the dollar to this state interventionism.
1	2965237	2965069	It is the young people who disappear, who receive training and find employment outside rural areas, which have a negative impact on these areas.	It is the youth who disappear, who acquire training and find employment outside rural areas, which has an adverse impact on these areas.
1	347274	347378	I do not intend to attack the division of powers between the Commission and Parliament.	I do not intend to attack the division of powers between the Commission and Parliament.
1	1724409	1724310	The Social Fund has undoubtedly improved our third-level institutions, funded our post-graduate programs and put in place comprehensive plans to tackle youth unemployment and long-term unemployment, to help those who terminate prematurely studies. and improve the level of adult literacy. 	The Social Fund has undoubtedly improved our third level institutions, funded our postgraduate programs and put in place comprehensive plans to tackle youth unemployment and long-term unemployment, to help those who terminate their schooling prematurely. and to improve the level of adult literacy.
0	1641154	1641055	In the past, Parliament had considered the social economy as a major potential supplier of jobs.	In the past, this Parliament has viewed the social economy as an important potential provider of employment.
0	2840953	2840899	I sincerely hope that you, Commissioner Monti, will support these amendments and I look forward to your comments to find out what your position is on this matter.	I very much hope that you, Commissioner Monti, will support these amendments, and I look forward to your comments and to finding out where you stand on this matter.
0	826611	826464	These goals can only be achieved through careful coordination and organization based on well thought out and thoughtful guidelines.	These policy objectives can only be achieved through their careful coordination and organisation on the basis of well thought-out and sensible guidelines.
0	2000409	2000365	It is a moral obligation for the EU and for all of us.	This is a moral obligation the EU and all of us have.
1	983573	983700	The first is that significant progress has been made in territorial and social cohesion throughout the Union and that Community funds have played an important, albeit not decisive, role in reducing regional inequalities.	The first is that significant progress has been made in territorial and social cohesion throughout the Union and that Community funds have played an important, albeit not decisive, role in reducing regional inequalities.
1	2090590	2090456	Madam Speaker, it is a point of order.	Madam President, this is a point of order.
1	1268103	1268213	All this, I hold      at   the participation of private enterprise, joining forces with the government, in addition, without any obstruction or exclusion, is one that will create social wealth and work positions.                   	All this I insist with the participation of the private company, joining forces with government, complementing, without any obstruction or exclusion, is one that will create social wealth and positions working.
1	1983258	1983180	However, most people would like to live in their area if given the opportunity, that is, if they find work there.	Most people, however, would like to live in their home region if given the opportunity, in other words if they found work there.
0	2475319	2475452	I agree with the rapporteur on two points.	I agree with the rapporteur on two issues.
1	1628189	1628166	I would like to point out that we place the greatest trust in Commissioner Monti and that we respect him deeply.	I would like to make it clear that we place the greatest trust in Commissioner Monti and that we respect him deeply.
1	2464878	2465098	The realization of the previous programs is also very informative. This allows us to determine how the guidelines should not be.   	The realization of previous programs is also very informative. It allows us to determine how the guidelines should not be.
1	1513394	1513490	Is the reason for it bureaucracy? Or are the regional disparities - distances, too hot or too cold, dispersed housing, difficult conditions - not sufficiently taken into account?   	Is the reason for it bureaucracy? Or are the regional disparities - distances, too hot or cold, dispersed habitat, harsh conditions - not been taken into consideration enough?
0	1686539	1686168	The vote will take place tomorrow at 12 noon.	The vote will take place tomorrow at 12 p.m.
0	1723480	1723289	It is therefore necessary to link structural financing more closely to job creation.	It is therefore necessary to link structural financing more closely to job creation.
1	2129589	2129472	This will reduce the need, which is constantly underlined, for transparency in the use of these funds and the temptation to unnecessarily use, in the long term, the local tax base where these projects are located, and the European Parliament will show to what extent point it is important is the need for such a reform.	This will reduce the need, which is constantly emphasized, for transparency in the use of these funds and the temptation to unnecessarily use, in the long term, the local tax base in where these projects are, and the European Parliament will show how important it is to the need for such a reform.
0	2617726	2618287	Commissioner, I am quite familiar with the constraints imposed by the Treaties, but I think it is worth stressing once again that the European economy is struggling to compete with the US economy, particularly because insufficiently open markets and lack of space. true competition.	Commissioner, I am quite familiar with the constraints imposed by the Treaties, but I believe that, it must be emphasised once again that the European economy is finding it hard to compete with the American economy, especially because of insufficiently open markets and a lack of genuine competition.
0	603159	603135	I refer to item 11 of the agenda.	I refer to item 11 on the order of business.
1	2873361	2873517	On the other hand, the work of humans is considered a simple adjustment factor.	On the other hand, the work of humans is considered as a simple adjustment factor.
1	655516	655401	Efforts to increase GDP per capita in Objective 1 regions are not always reflected in this increase. This is not really a satisfactory result over a period during which, certainly, in recent years, economic recovery was on the agenda.   	Efforts to increase per capita GDP in Objective 1 regions do not always result in this increase. This is not really a satisfactory result over a period during which, certainly in recent years, economic recovery was on the agenda.
1	2530067	2530487	Work order	Order of work
1	1947412	1947484	Finally, to conclude, Mr President, with the expiry of the ECSC Treaty, we will have to review the rules because I think that the aid system will have to remain in force beyond 2002 and I am therefore in favor of a Council regulation which guarantee security in this area.	Finally, and to conclude, Mr President, with the expiry of the ECSC Treaty, we will have to review the rules because I think that the system of aid will have to continue beyond 2002 and I am therefore in favor of a Council regulation which will guarantee security in this area.
0	69687	69610	I will say that something is already being done in Berlin and in the financial instruments at our disposal, which could be a cohesion policy for the first countries that will join us.	I shall say that something is already taking shape in Berlin and in the financial instruments available to us which may be a policy on cohesion for the first countries who are going to join us.
1	2852505	2852372	The vote will take place tomorrow at noon.	The vote will take place tomorrow at noon.
1	2029542	2029603	Secondly, I understand the companies' concerns about legal certainty.	Second, I understand business concerns about legal certainty.
0	2355787	2356027	We expect the Commission to deal with additionality issues.	We look to the Commission to deal with points in relation to additionality.
0	3200940	3201393	But at mid-term or at the end of this period, there is no effective way to end the project unless it has been successful.	But at the mid-way point or end of that period there is no effective way of terminating the project if it has not proved successful.
0	667124	666899	In fact, there is a risk of a military coup in the future.	There is, in fact, a risk of a military coup in the future.
0	2213910	2214019	In this respect, I accept the proposal to amend Directive 94/55 / ​​EC which has been put to the debate today.	In this respect, I accept this proposal to amend Directive 94/55/EC which has been tabled for discussion today.
0	640880	640597	Mr President, first of all, I would like to congratulate the rapporteur, Mr Koch, for his magnificent work and positive cooperation with the Commission in improving the texts and presenting this report and this proposal. at the end, there is only one amendment to the requirements for the proficiency examination of safety advisers in the transport of dangerous goods by road, rail or inland waterway. 	Mr President, I would firstly like to congratulate the rapporteur, Mr Koch, on his magnificent work and his positive cooperation with the Commission with regard to improving the texts and presenting this report and this proposal; in the end there is only one amendment on the requirements for the aptitude examination for safety advisers in the transport of dangerous goods by road, rail or inland waterway.
1	404585	404787	But in most cases this only helps to prevent abuse and is not sufficient, as such, to achieve socially legitimate goals.	But, for the most part, this only helps to avoid abuses and is not sufficient, as such, to achieve socially legitimate goals.
1	1268437	1268577	We must not find ourselves in the unfortunate situation where one institution or another creates an unnecessary break in institutional relations.	We must not end up in the unfortunate position where one or another institution creates an unnecessary break in institutional relations.
0	2408619	2408559	Mr. Speaker, as a new member, I am pleased to be able to deliver my first speech here today, even though there has been a delay.	Mr President, as a new Member I am pleased to be able to make my maiden speech here today, even though there has been a delay.
0	3407279	3407314	The Commission's program needs to be complemented by enhanced scrutiny of the national authorities and the courts of the Member States.	The Commission' s programme is to be supplemented by enhanced follow-up supervision of the national authorities and Member States' courts.
1	2784891	2784624	Our additions therefore call for practical and enforceable exit strategies, so that we not only have the necessary insurance against the ongoing costs that taxpayers often have to bear, but also that we can avoid the syndrome of sinking into a bad business.	Our additions therefore call for practical and enforceable exit strategies so that we not only have the necessary assurance against ongoing costs that taxpayers often have to bear, but also that we can avoid the syndrome of to sink into a bad business.
1	231001	231030	Like the rapporteur, I believe that the Commission's document unfortunately contains too few recommendations to the Member States for administrative simplification, and I would like to highlight requirements such as the following: negotiations should focus on promoting a favorable environment for small and medium-sized small and medium-sized enterprises, setting clear targets for alternative sources of funding - including risk capital and private finance regulations - for business start-up support - including in the field of new technologies and investments in innovative fields	Like the rapporteur, I consider that the Commission's document unfortunately contains too few recommendations to the Member States for administrative simplification, and I want to stress requirements such as the following: negotiations must focus on promoting a favorable environment for labor-intensive small and medium-sized enterprises, setting clear objectives for alternative sources of funding - including regulations for risk capital and private financing - on business start-up aid - including in the field of new technologies and investment in innovative areas.
0	2232494	2232543	What we must avoid doing in the future is to undermine the conditions of competition and disrupt the balance of the markets.	What we need to avoid doing in the future is compromising competition conditions and disturbing the balance in the markets.
0	1988217	1988201	Indeed, if we add the two members who have declared themselves, the result of the vote would then be ...	Indeed, if we add the two Members who have declared themselves, then the result of the vote would be ....
1	3438092	3438142	Mr President, Commissioner, ladies and gentlemen, the report which I have the opportunity to present to you today constitutes an opinion on the Commission's annual report on State aid in the European Union. . European Community and for which the Community has competence under Articles 87, 88 and 89 of the Treaties. 	Mr President, Commissioner, ladies and gentlemen, the report that I have the opportunity to present to you today is an opinion on the Commission's annual report on State aid in force within the EU. European Union and for which the Community has competence under Articles 87, 88 and 89 of the Treaties.
1	1466129	1466006	As in other areas, Article 87 (1) of the EC Treaty provides for a general prohibition of aid in the iron and steel sector.	As is the case in other areas, Article 87 (1) of the EC Treaty provides for a general prohibition of aid in the iron and steel sector.
0	2923681	2923670	My vote was "in favor".	My vote was "in favour" .
0	3445922	3445856	Whereas, since the dawn of time, the market has been the main forum of human exchange, it has never been perfect.	While, since the dawn of time, the market has been the key forum for human interchange, it has never been perfect.
1	539640	539371	A poorly adapted competition policy can lead to a legal decline and a violation of the right to property, a fundamental principle that we must take care of.	A poorly adapted competition policy may be responsible for a decline in the legal point of view, and an infringement of the right to property, a fundamental principle on which we must take care.
0	1536566	1536602	Thank you so much.	Thank you very much.
0	3092148	3092128	Agriculture provides only 5.5% of jobs in the Union.	Agriculture only provides 5.5% of employment in the Union.
1	758335	758269	In this sense, I would also like to touch very briefly on tunnel problems, to which MM. Rack and Swoboda made reference to the question and, in the case of Austria, undoubtedly constitute a very sensitive topic. This is why it is necessary to strive to see how to strengthen their security.   	In this sense, I would also like to touch very briefly on the problems of tunnels, to which MM. Rack and Swoboda have referred, and in the case of Austria undoubtedly constitute a very sensitive subject, which is why it is necessary to make efforts to see how to increase their security.
1	1307707	1307622	I would therefore like to reiterate, Madam President, that we, for our part, have discussed the action program for the next five years and that we are ready to present it when Parliament decides to do so.   ­   including this week, if that is his decision   ­   and the program for the year 2000, next month, on which we have fully agreed.	I would therefore like to reiterate, Madam President, that we, for our part, have discussed the action program for the next five years and that we are ready to present the program for the next five years when Parliament decides to do so. ­ including this week, if that is his decision ­ and the program for the year 2000, next month, which we fully agreed on.
0	2483416	2483366	I would like to remind the Member that the European Union has approved the new regional aid guidelines for the period 2000+. It was only an extension of the political objectives to supplement the internal market in Europe. 	I should like to remind the Member that the European Union has agreed to the new regional aid guidelines for the period 2000 plus. This was merely an extension of the policy objectives to complete the internal market within Europe.
0	2679225	2679025	It is absolutely essential that companies in developing regions adopt the latest technologies and knowledge more slowly.	It is absolutely essential that companies in areas developing more slowly adopt the latest technology and know-how.
1	2286593	2286504	We hope that this will ensure, by going against the British Government, the participation of the private sector in the planning phase, provided that it is certain that it must give the main impetus to Structural Fund expenditure.	We hope that it will ensure, by going against the British government, the participation of the private sector in the planning phase, as long as it is certain that it must provide the main impetus for Structural Fund expenditure.
0	495996	496023	Most of them reflect the political differences between us as regards the adequacy and effectiveness of State aid, given the shortcomings, recognized or otherwise, of private investment, failures or to the inadequacies of the market.	Most of them are an expression of the political differences among ourselves regarding the appropriateness and effectiveness of state aid, in view of the inadequacies, acknowledged or not, of private investment alone, the market failures or inadequacies of the market.
1	2527952	2527760	It is therefore necessary to adopt adequate regulations to govern these transports.	It is therefore necessary to adopt adequate regulations to govern these transports.
0	2082070	2081886	It provides a solid basis for discussion and should be commended in this regard.	It forms a sound basis for discussion and is to be welcomed in this sense.
1	3153783	3153726	Serious structural reforms and a financially and fiscally responsible spending policy are the cornerstones of a prosperous economic space.	Serious structural reforms and a fiscally responsible and competitive spending policy are the foundations of a prosperous economic space.
1	2380521	2380281	Does the Commission intend to do anything to confer legal privileges on national lawyers in all the Member States?	Does the Commission intend to do anything to give legal privileges to domestic lawyers in all the Member States?
1	1809381	1809368	The market is not an end in itself; it must serve the improvement of the human condition.   	The market is not an end in itself; it must serve the improvement of the human condition.
0	2635271	2635090	The debate is closed.	The debate is closed.
1	3064953	3064992	In the future, it will also be necessary to avoid any change in the conditions of competition and market imbalances.	In the future too, changes in the conditions of competition and imbalances in the markets must be avoided.
0	578185	578532	Competition policy has, to the extent that these resources permit, contributed to this event.	The competition policy has, as far as these resources permitted, contributed to this event.
1	2608381	2608419	This requires a European Commission which, beyond its good intentions, clarifies its guidelines and undertakes to monitor the use of these resources by the Member States.	This requires a European Commission which, beyond its good intentions, clarifies its guidelines and is committed to controlling the use of these resources by the Member States.
0	2637178	2637350	I remind Mr Jonckheer that Irish and foreign companies based in Ireland must always cross two marine masses to enter the continental European market.	I remind Mr Jonckheer that Irish companies or foreign companies in Ireland still have to cross two sea masses to reach the mainland European marketplace.
1	2056695	2056127	You showed us the way, Mr Monti, with a table of results concerning the internal market.	You have shown us the way, Mr Monti, with a table of results concerning the internal market.
1	2694821	2694682	If the Commissioner could not do so today, would she be prepared to communicate in writing to the Committee the current situation and the state of negotiations between CEN and the Economic Committee?	If the Commissioner can not do so today, would she be prepared to communicate in writing to the Committee the current situation and the state of negotiations between CEN and the Economic Committee?
0	3034432	3034387	I do not know if this information is correct, but the EPP-ED Group would, in any event, accept that it was deleted, because Parliament had already addressed this issue on several occasions.	I do not know whether this information is correct, but the PPE-DE Group would, in any case, be grateful if this item were removed because Parliament has addressed this issue several times already.
0	377408	377367	Recently, I found that the Commission was working hard to ensure that this principle was respected appropriately and effectively, precisely in order to maintain market flexibility for both products and services.	Recently, I have noticed that the Commission has been working hard to ensure that this principal is respected in a proper and effective manner, precisely in order to safeguard market flexibility, both for products and for services.
1	2224622	2224687	Tomorrow, four new countries will be the subject of a Commission decision and very soon, I hope, it will be Italy's turn.	Tomorrow, four new countries will be the subject of a decision of the Commission and very soon, I hope, it will be the turn of Italy.
0	2581013	2580985	In the interests of equality, the code must be applied or it must be modified.	In the interests of equality, either the Code must be applied or it must be modified.
0	2204550	2204582	They are still in training, so to speak.	They are still in training, as it were.
0	1428181	1428275	Efforts to increase per capita GDP in Objective 1 regions do not always translate into such an increase, which is not really a satisfactory outcome for a period during which, of course, in recent years have been marked by economic growth.	The efforts made in order to drive up the GDP per capita in Objective 1 regions do not always result in such an increase, not really a satisfying result over a period during which, certainly over the past couple of years, there has been economic growth.
0	2439719	2439791	We all know that so far the Council has dragged its feet on follow-up regulations of this type.	We all know that so far the Council has dragged its feet with regard to follow-up regulations of this kind.
0	3270885	3270862	So why should EU arms producers profit at the expense of innocent people?	So why should EU arms producers profit at the expense of innocent people?
0	701341	701234	Mr President, in the time limited, I would like to express my support for the work The gathering of information and the lack of transparency and socio-economic balance in the granting of aid.	Mr President, in the limited time I have, I would like to express my support for the work carried out by all the rapporteurs and my agreement with many of the things which have been said here, in particular by Mr Jonckheer, who criticised the excessive gathering of information and the lack of transparency and socio-economic balance in the granting of aid.
0	1369900	1369751	Some of the reports that were presented at the plenary session of Parliament today show that the 25 most prosperous regions of Europe have an unemployment rate five times lower than in the 25 least prosperous regions.	It is clear from some of the reports that have been presented to Parliament' s plenary sitting today that Europe' s 25 most prosperous regions enjoy a level of unemployment which is five times lower than in the 25 least prosperous regions.
1	3258665	3258734	I would like to refer to the explanatory memorandum of the quantitative part of the report. I will simply recall here that the average annual amount, for the period considered, is of the order of 95 billion euros. This represents a decrease of about 13% over the period 1993-1995, mainly due to a decrease in aid in the Federal Republic of Germany.	I would like to refer to the explanatory memorandum for the quantitative part of the report and I will simply point out here that the annual amount, on average, for the period under review, is of the order of 95 billion euros This represents a decrease of around 13% over the period 1993 to 1995, which is mainly due to a decrease in aid in the Federal Republic of Germany.
0	2110325	2110199	Mr President, the Group of the Party of European Socialists in this Parliament approves the report which Mr Berend has just presented and congratulates the author, both for the quality of his conclusions and for his flexibility, which has enabled the different groups to incorporate the amendments in committee.	Mr President, the Group of the Party of European Socialists in this Parliament agrees with the report that Mr Berend has just presented and congratulates the author, both on the quality of his conclusions and on his flexibility, which ensured that the different groups were able to incorporate amendments in committee.
1	3171466	3171578	The common position includes almost all the amendments accepted by the Commission, harmonises the minimum requirements for safety adviser examinations and, at second reading, we can accept the proposed date, which is much more realistic than the one originally proposed by the Commission, having been able to debate this issue for several years now.	The common position includes virtually all the amendments accepted by the Commission, harmonises the minimum requirements for safety adviser examinations and, at second reading, we can accept the proposed date, which is much more realistic than originally proposed by the Commission, knowing that we have been debating this issue for several years now.
0	651796	651731	I can live with these minimum standards, but I would ask the Commission to monitor the situation very closely.	I can live with these minimum standards, but I would ask the Commission to monitor the situation very carefully.
1	380073	379924	The process of increasing margins and transport safety guarantees is a process that needs to be improved day by day.	The process of increasing margins and transport safety guarantees is a process that needs to be improved day by day.
0	166426	166354	There are therefore reservations about the effectiveness of Community aid.	Some reservation about the effectiveness of Community aid is therefore called for.
0	1095653	1095781	However, he must now appear again in court because the Attorney General is appealing.	Now, however, he is to go before the courts once more because the public prosecutor is appealing.
